Month,Year,Month_Name,Active_Users,Transactions_Mn,Transaction_Value_Cr,Avg_Transaction_Value_INR,Success_Rate_%,Failure_Rate_%
2020-01-01,2020,Jan,258344,109.11,18347.52,1681.56,96.54,3.46
2020-02-01,2020,Feb,332492,131.52,17566.12,1335.62,97.56,2.44
2020-03-01,2020,Mar,267591,147.83,20703.19,1400.47,96.02,3.98
2020-04-01,2020,Apr,253017,142.71,21690.51,1519.9,96.87,3.13
2020-05-01,2020,May,293810,159.66,23926.81,1498.61,96.91,3.09
2020-06-01,2020,Jun,295771,173.13,24034.99,1388.26,96.82,3.18
2020-07-01,2020,Jul,360393,194.73,26578.01,1364.86,96.8,3.2
2020-08-01,2020,Aug,345446,203.84,30177.03,1480.43,96.31,3.69
2020-09-01,2020,Sep,294490,217.52,29639.61,1362.62,96.59,3.41
2020-10-01,2020,Oct,296480,238.64,31511.1,1320.45,95.98,4.02
2020-11-01,2020,Nov,487283,242.68,32289.76,1330.55,96.23,3.77
2020-12-01,2020,Dec,531996,234.36,34125.05,1456.1,96.66,3.34
2021-01-01,2021,Jan,484853,254.19,37645.17,1480.99,96.6,3.4
2021-02-01,2021,Feb,609654,264.11,39698.81,1503.12,96.31,3.69
2021-03-01,2021,Mar,496105,280.7,39852.24,1419.74,94.9,5.1
2021-04-01,2021,Apr,660628,292.83,41294.15,1410.17,96.48,3.52
2021-05-01,2021,May,735949,307.44,44035.33,1432.32,95.67,4.33
2021-06-01,2021,Jun,568290,320.5,44390.82,1385.05,96.7,3.3
2021-07-01,2021,Jul,742826,338.03,46790.87,1384.22,97.33,2.67
2021-08-01,2021,Aug,728944,336.83,49867.55,1480.5,98.27,1.73
2021-09-01,2021,Sep,584138,358.76,50148.18,1397.82,95.89,4.11
2021-10-01,2021,Oct,733022,355.65,51035.2,1434.98,97.2,2.8
2021-11-01,2021,Nov,688220,381.03,53507.85,1404.29,96.61,3.39
2021-12-01,2021,Dec,738288,379.31,56253.51,1483.05,96.63,3.37
2022-01-01,2022,Jan,756914,386.78,57025.6,1474.37,96.32,3.68
2022-02-01,2022,Feb,871997,407.05,57741.6,1418.54,97.07,2.93
2022-03-01,2022,Mar,786856,421.86,60359.98,1430.81,95.39,4.61
2022-04-01,2022,Apr,886563,445.78,61202.9,1372.94,96.73,3.27
2022-05-01,2022,May,698222,456.04,62307.18,1366.27,96.54,3.46
2022-06-01,2022,Jun,944620,459.91,65088.56,1415.25,96.89,3.11
