Transaction_ID,User_ID,Transaction_Date,Category,Merchant_Type,Payment_Mode,Amount_INR,Status,Month,Year,Merchant_ID
T000001,U03291,2022-03-25,Other,Small Business,UPI,208.35,Success,2022-03,2022,M010
T000002,U02673,2024-10-19,Utilities,Small Business,Bill Payment,536.33,Success,2024-10,2024,M010
T000003,U02380,2024-02-19,Food & Dining,Offline,UPI,46.44,Success,2024-02,2024,M016
T000004,U01186,2020-01-15,Fuel,Offline,UPI,53.14,Success,2020-01,2020,M011
T000005,U03379,2024-02-28,Mobile Recharge,Small Business,Recharge,28.17,Failed,2024-02,2024,M014
T000006,U03970,2025-07-30,Fuel,Offline,UPI,250.17,Success,2025-07,2025,M014
T000007,U00746,2023-04-24,Fuel,Small Business,UPI,210.29,Success,2023-04,2023,M020
T000008,U00416,2022-10-03,Shopping,Offline,QR Code,618.06,Success,2022-10,2022,M001
T000009,U02946,2021-12-07,Bills,Offline,UPI,701.08,Success,2021-12,2021,M010
T000010,U00570,2021-12-03,Mobile Recharge,Small Business,Online Payment,105.19,Success,2021-12,2021,M006
T000011,U04246,2022-01-15,Shopping,Offline,UPI,334.87,Success,2022-01,2022,M008
T000012,U02067,2025-06-07,Healthcare,Offline,UPI,308.79,Success,2025-06,2025,M004
T000013,U04116,2020-02-05,Education,Online,UPI,95.64,Success,2020-02,2020,M006
T000014,U01970,2022-01-16,Grocery,Offline,Recharge,53.85,Success,2022-01,2022,M003
T000015,U03086,2025-08-26,Travel,Offline,UPI,106.61,Success,2025-08,2025,M013
T000016,U00788,2025-09-11,Food & Dining,Offline,Online Payment,247.01,Success,2025-09,2025,M004
T000017,U02349,2023-11-04,Fuel,Offline,UPI,193.85,Success,2023-11,2023,M003
T000018,U02873,2021-10-07,Fuel,Offline,Online Payment,1092.77,Success,2021-10,2021,M012
T000019,U04127,2022-05-05,Fuel,Offline,UPI,271.98,Success,2022-05,2022,M011
T000020,U03172,2021-05-31,Mobile Recharge,Offline,Online Payment,338.0,Success,2021-05,2021,M014
T000021,U02511,2022-03-08,Utilities,Small Business,Bill Payment,93.89,Success,2022-03,2022,M020
T000022,U01582,2025-04-13,Food & Dining,Small Business,UPI,392.65,Success,2025-04,2025,M002
T000023,U00903,2021-04-29,Grocery,Offline,UPI,59.0,Success,2021-04,2021,M009
T000024,U04913,2021-03-18,Education,Offline,Online Payment,330.76,Success,2021-03,2021,M007
T000025,U00407,2024-07-11,Other,Small Business,Online Payment,78.27,Success,2024-07,2024,M007
T000026,U00989,2022-10-10,Entertainment,Offline,Online Payment,330.27,Success,2022-10,2022,M010
T000027,U02601,2022-08-20,Entertainment,Small Business,Online Payment,135.0,Success,2022-08,2022,M014
T000028,U02948,2021-07-26,Fuel,Online,UPI,352.84,Success,2021-07,2021,M020
T000029,U02143,2020-12-23,Bills,Offline,Recharge,295.57,Success,2020-12,2020,M012
T000030,U00159,2021-09-12,Shopping,Offline,Bill Payment,59.48,Success,2021-09,2021,M003
T000031,U02095,2025-03-18,Other,Online,UPI,2326.06,Success,2025-03,2025,M007
