User_ID,Registration_Date,Age_Group,Gender,State,City,Income_Group,User_Type,KYC_Status
U00001,2023-08-21,25-34,Male,West Bengal,Kolkata,2L+,Regular,Verified
U00002,2023-10-09,18-24,Female,Tamil Nadu,Chennai,<25K,New,Verified
U00003,2020-10-12,25-34,Male,Kerala,Kochi,<25K,Frequent,Verified
U00004,2025-10-11,18-24,Female,Telangana,Warangal,50K-1L,Regular,Verified
U00005,2021-11-17,35-44,Female,Gujarat,Ahmedabad,50K-1L,New,Verified
U00006,2023-07-29,18-24,Male,West Bengal,Kolkata,2L+,Regular,Verified
U00007,2024-01-04,25-34,Female,Madhya Pradesh,Jabalpur,25K-50K,Regular,Verified
U00008,2022-01-07,35-44,Female,Delhi,New Delhi,<25K,Regular,Verified
U00009,2025-05-12,25-34,Female,West Bengal,Siliguri,50K-1L,Frequent,Verified
U00010,2025-03-09,18-24,Male,Kerala,Thiruvananthapuram,25K-50K,Regular,Verified
U00011,2024-01-25,18-24,Male,Kerala,Thiruvananthapuram,25K-50K,Regular,Pending
U00012,2025-10-01,18-24,Male,Telangana,Warangal,25K-50K,Regular,Verified
U00013,2021-04-30,35-44,Female,Gujarat,Vadodara,<25K,Frequent,Verified
U00014,2024-02-22,25-34,Male,Tamil Nadu,Madurai,25K-50K,Regular,Pending
U00015,2025-06-24,45-54,Male,Telangana,Warangal,25K-50K,Regular,Verified
U00016,2023-10-19,25-34,Male,Telangana,Warangal,50K-1L,Regular,Verified
U00017,2022-10-27,25-34,Male,Delhi,New Delhi,50K-1L,Regular,Verified
U00018,2024-10-31,25-34,Female,Uttar Pradesh,Varanasi,<25K,New,Verified
U00019,2021-10-29,35-44,Male,Gujarat,Vadodara,25K-50K,New,Verified
U00020,2023-05-05,25-34,Female,Karnataka,Mysuru,25K-50K,Frequent,Verified
U00021,2022-04-14,18-24,Female,Telangana,Hyderabad,<25K,Regular,Verified
U00022,2022-05-25,35-44,Male,Punjab,Chandigarh,50K-1L,Regular,Verified
U00023,2022-09-28,25-34,Male,Uttar Pradesh,Varanasi,2L+,Regular,Verified
U00024,2020-09-06,25-34,Male,Karnataka,Mangaluru,50K-1L,Regular,Verified
U00025,2025-04-23,35-44,Male,Punjab,Amritsar,50K-1L,New,Verified
U00026,2024-06-06,25-34,Female,Gujarat,Vadodara,25K-50K,New,Verified
U00027,2023-06-17,35-44,Female,Maharashtra,Pune,25K-50K,Frequent,Verified
U00028,2022-05-21,35-44,Female,Punjab,Amritsar,1L-2L,Regular,Pending
U00029,2022-04-14,35-44,Male,Madhya Pradesh,Indore,2L+,Regular,Verified
U00030,2022-07-07,35-44,Male,Uttar Pradesh,Lucknow,25K-50K,Frequent,Verified
U00031,2024-09-20,25-34,Female,Punjab,Chandigarh,25K-50K,Regular,Verified
U00032,2023-08-06,35-44,Other,Rajasthan,Udaipur,1L-2L,New,Verified
U00033,2025-03-12,45-54,Female,Maharashtra,Mumbai,<25K,New,Verified
U00034,2021-02-06,25-34,Male,Kerala,Thiruvananthapuram,1L-2L,Regular,Verified
U00035,2025-10-06,25-34,Male,Kerala,Kochi,1L-2L,Frequent,Verified
U00036,2023-08-20,35-44,Female,Madhya Pradesh,Indore,<25K,New,Verified
U00037,2023-02-12,35-44,Male,Punjab,Ludhiana,2L+,New,Verified
U00038,2020-07-28,18-24,Male,Punjab,Amritsar,2L+,Frequent,Verified
U00039,2022-11-30,45-54,Male,Delhi,Delhi,2L+,New,Verified
U00040,2022-03-26,18-24,Male,Punjab,Ludhiana,25K-50K,Regular,Verified
U00041,2026-01-29,35-44,Female,West Bengal,Siliguri,25K-50K,New,Verified
